Authors,Publication.Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,attention on others in house,425,t,3.336,424,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,toward owner or family,428,t,4.988,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when disciplined,427,t,4.524,426,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when reached for or handled,428,t,3.161,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al 2004,Cardinalis cardinalis,vertebrate,light brown,,dark brown,face,melanocortin,eumelanin,mature,females,field,year round,No,attacks,22,t,2.09,21,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARLOW, GW; SIRI, P",1994,Barlow and Siri 1994,Cichlasoma citrinellum,vertebrate,grey,,golden,body,carotenoid,N/A,juvenile,both,captivity,year round,Plastic,attacks,36,F,0.769,1,27,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 1,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,mature,females,lab,year round,Plastic,approach,11,r,NA,NA,NA,NS,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 2,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,mature,females,lab,year round,Plastic,lateral display,11,r,NA,NA,NA,NS,-0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 3,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,mature,females,lab,year round,Plastic,frontal display,11,r,NA,NA,NA,0.005,-0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 4,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,mature,females,lab,year round,Plastic,bite,11,r,NA,NA,NA,0.02,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,Yewers et al 2016,Ctenophorus decresii,vertebrate,grey,yellow,orange,throat,carotenoid,N/A,mature,males,field,year round,Plastic,score,34,F,2.94,3,28.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korsten, P; Dijkstra, TH; Komdeur, J",2007,Korsten et al 2007,Cyanistes caeruleus,vertebrate,reduced blue,,blue,head,structural,N/A,both,males,field,year round,Plastic,attack,23,t,0.2,13.1,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,vertebrate,red,,black,face,melanocortin,eumelanin,juvenile,females,lab,year round,Plastic,time,76,F,14.32,1,75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al 2012,Erythrura gouldiae,vertebrate,red,,black,head,melanocortin,eumelanin,mature,both,captivity,year round,Plastic,score,40,mean,NA,NA,NA,,NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,0.001,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,33,r,NA,NA,NA,NS,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,vertebrate,small yellow,average orange,large red,collar area,carotenoid,N/A,mature,males,field,year round,Plastic,number of interactions,43,r,NA,NA,NA,0.001,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dale, S; Slagsvold, T",1996,Dale and Slagsvold 1996,Ficedula hypoleuca,vertebrate,dull,,bright,body,melanocortin,eumelanin,mature,both,field,breeding,Plastic,response time,15,t,2.61,14,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 1,Ficedula hypoleuca,vertebrate,light brown,,brown,body,melanocortin,eumelanin,mature,males,field,year round,Plastic,rank,36,r,NA,NA,NA,0.1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 2,Ficedula hypoleuca,vertebrate,light brown,,brown,body,melanocortin,eumelanin,juvenile,males,field,year round,Plastic,rank,31,r,NA,NA,NA,0.1,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 1,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,eumelanin,juvenile,females,domestic,year round,No,% of obs,23,mean,NA,NA,NA,NA,NA,9,2.2,NA,0.5,1.5,14,1.1,NA,0.3,1.1225
"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 2,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,eumelanin,juvenile,males,domestic,year round,No,% of obs,22,mean,NA,NA,NA,NA,NA,6,2,NA,0.7,1.715,16,3.6,NA,0.6,2.4
"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 3,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,eumelanin,mature,females,domestic,year round,No,% of obs,23,mean,NA,NA,NA,NA,NA,9,1.5,NA,0.6,1.8,14,2,NA,0.7,2.6192
"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 4,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,eumelanin,mature,males,domestic,year round,No,% of obs,22,mean,NA,NA,NA,NA,NA,6,0,NA,0,0,16,6.2,NA,2,8
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 1,Gallus gallus domesticus,vertebrate,white,,red,body,melanocortin,eumelanin,mature,females,domestic,year round,No,chase and attack,10,mean,NA,NA,NA,,NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,45.57
"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,vertebrate,white,,red,body,melanocortin,eumelanin,mature,females,domestic,year round,No,peak and threat,10,mean,NA,NA,NA,,NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.54
"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011,Gallus gallus domesticus,vertebrate,small,,large,comb,melanocortin,eumelanin,mature,females,domestic,year round,No,dominance score,120,F,13.68,1,110,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Horth, L",2003,Horth 2003,Gambusia holbrooki,vertebrate,silver,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,time,8,t,2.74,7,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baube, CL",1997,Baube 1997,Gasterosteus aculeatus,vertebrate,dull red,,bright red,body,carotenoid,N/A,mature,males,lab,breeding,Plastic,latency seconds,170,X2,10.741,1,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 1,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,number of behaviors,10,F,25.55,1,9.6,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 2,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,females,captivity,year round,No,number of behaviors,6,F,5.06,1,4.8,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 1,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,"approach, bite, chase",20,X2,2.18,2,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 2,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,wins,20,X2,0.46,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
