,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
20,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,toward children,142,t,3.365,141,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341713348,0.079427954,0.356031109,0.084818893,11.78982612
21,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 5,,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,attention on others in house,425,t,3.336,424,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200436596,0.047634969,0.203187383,0.048679238,20.54263858
22,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,toward owner or family,428,t,4.988,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294086273,0.046307638,0.303033557,0.048507125,20.61552813
14,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when disciplined,427,t,4.524,426,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268341633,0.046728069,0.275075916,0.048564293,20.59126028
15,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 2,,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,when reached for or handled,428,t,3.161,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189516807,0.047572119,0.191835927,0.048507125,20.61552813
16,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Mammalia,Canis lupus familiaris,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,both,both,domestic,year round,No,strange dogs,428,t,2.582,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155395389,0.047861603,0.156664645,0.048507125,20.61552813
23,"Boerner, M; Kruger, O",2009,Boerner and Kruger 2009,,Buteo buteo,vertebrate,light,intermediate,dark,body,melanocortin,eumelanin,mature,both,field,breeding,No,score,42,F,3.306,2,51,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114767757,0.157069122,0.11527567,0.160128154,6.244997998
24,"Rose, P; Soole, L",2020,Rose and Soole 2020,,Phoenicoparrus minor,vertebrate,white,,pink,body,carotenoid,N/A,mature,both,captivity,year round,Plastic,seconds,45,F,6.45,4,40,0.00004,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392097264,0.140287059,0.414275909,0.15430335,6.480740698
25,"Barron, DG; Webster, MS; Schwabl, H",2015,Barron et al. 2015,,Malurus melanocephalus,vertebrate,brown,,black,body,melanocortin,eumelanin,mature,males,field,breeding,No,territorality,48,F,4.03,1,44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083905892,0.146922029,0.084103633,0.149071198,6.708203932
26,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 4,,Malurus amabilis,vertebrate,less blue,,more blue,cheek,unknown,N/A,mature,both,captivity,year round,No,score (attacks + displays),64,t,-2.76,35.6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526185284,0.107997091,0.584855136,0.12803688,7.810249676
