,Authors,Publication.Year,Study,Class,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
67,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al. 2001 - 4,,Manacus candei,vertebrate,white,,golden,collar and belly,carotenoid,N/A,mature,males,field,breeding,No,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,23.5,NA,NA,31.2,-0.161131845,0.174466735,-0.162548494,0.179605302,5.567764363
68,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al. 2001 - 3,,Manacus vitellinus,vertebrate,white,lemon,,collar and belly,carotenoid,N/A,mature,males,field,breeding,No,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,26.5,NA,NA,35.9,-0.185131719,0.173720883,-0.18729136,0.179605302,5.567764363
69,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al. 2001 - 2,,Manacus vitellinus,vertebrate,,lemon,golden,collar and belly,carotenoid,N/A,mature,males,field,breeding,No,calls,34,mean,NA,NA,NA,,NA,17,383.1,NA,NA,151.5,17,195.9,NA,NA,80.2,0.196220934,0.173340105,0.198799103,0.179605302,5.567764363
70,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al. 2001 - 1,,Manacus vitellinus,vertebrate,white,lemon,,collar and belly,carotenoid,N/A,mature,males,field,breeding,No,calls,34,mean,NA,NA,NA,,NA,17,199.8,NA,NA,111.2,17,383.1,NA,NA,151.5,-0.253443916,0.171004951,-0.259089715,0.179605302,5.567764363
71,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al. 2011,,Gallus gallus domesticus,vertebrate,white,,wild type,body,melanocortin,pheomelanin,both,males,domestic,year round,Plastic,,31,F,6.39,1,30,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175597692,0.182810006,0.177436661,0.188982237,5.291502622
72,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al. 2019 - 2,,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,N/A,mature,females,domestic,year round,No,chase and attack,10,mean,NA,NA,NA,,NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,12.89,0.595077486,0.284139663,0.685490934,0.377964473,2.645751311
73,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al. 2019 - 1,,Gallus gallus domesticus,vertebrate,white,,red,body,carotenoid,N/A,mature,females,domestic,year round,No,peak and threat,10,mean,NA,NA,NA,,NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.57,0.635378286,0.273014293,0.750384504,0.377964473,2.645751311
74,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al. 2011,Aves,Gallus gallus domesticus,vertebrate,small,,large,comb,carotenoid,N/A,mature,females,domestic,year round,No,dominance score,120,F,13.68,1,110,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110608021,0.091492607,0.111062425,0.092450033,10.81665383
75,"Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,Mafli et al. 2011,,Testudo hermanni,vertebrate,light,,dark,shell,melanocortin,pheomelanin,mature,males,captivity,year round,Plastic,index,23,r,NA,NA,NA,0.0001,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.157948153,0.847955755,0.223606798,4.472135955
76,"Stapley, J",2006,Stapley 2006,,Pseudemoia entrecasteauxii,vertebrate,white,,orange,ventral,carotenoid,N/A,mature,males,captivity,year round,Plastic,interactions,32,F,22.46,1,31,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420127198,0.165679725,0.447846475,0.185695338,5.385164807
77,"Titone, V; Marsiglia, F; Mangiacotti, M; Sacchi, R; Scali, S; Zuffi, MAL",2018,Titone et al. 2018,,Podarcis siculus,vertebrate,white,,green,ventral,unknown,N/A,mature,males,captivity,year round,No,score,30,F,0.317,1,29,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010812839,0.188971189,0.01081326,0.19245009,5.196152423
78,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 3,,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,mature,females,captivity,year round,No,scratching time,238,F,0.16,1,233,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000686224,0.06509444,0.000686224,0.065232807,15.32970972
79,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 2,,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,mature,females,captivity,year round,No,bite attempts,238,X2,3.95,2,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128827942,0.064552021,0.129547828,0.065232807,15.32970972
80,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 1,,Lacerta vivipara,vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,mature,females,captivity,year round,No,flee attempts,231,X2,16.18,1,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264656929,0.063725555,0.271109504,0.066226618,15.09966887
81,"Baird, TA; Baird, TD; Shine, R",2013,Baird et al. 2013,,Intellagama lesueurii,vertebrate,drab red,,bright red,ventral,carotenoid,N/A,mature,males,field,breeding,No,latency seconds,38,X2,2.95,37,NA,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278624441,0.160066689,0.286190117,0.169030851,5.916079783
82,"Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,Yewers et al. 2016,,Ctenophorus decresii,vertebrate,grey,yellow,orange,throat,carotenoid,N/A,mature,males,field,year round,Plastic,score,34,F,2.94,3,28.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236334405,0.171768926,0.240888083,0.179605302,5.567764363
83,"Brown, DM; Lattanzio, MS",2018,Brown and Lattanzio 2018,,Urosaurus graciosus,vertebrate,yellow,,orange,throat,carotenoid,N/A,mature,males,captivity,year round,No,score,20,X2,5.4,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519615242,0.2013841,0.575812545,0.242535625,4.123105626
84,"McElroy, EJ; Marien, C; Meyers, JJ; Irschick, DJ",2007,McElroy et al. 2007,,Urosaurus ornatus,vertebrate,orange,yellow,blue,ventral,carotenoid,N/A,mature,males,field,year round,No,number of pushups per display,43,F,10.84,1,32,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253034547,0.151091437,0.258652295,0.158113883,6.32455532
85,"Taylor, JN; Lattanzio, MS",2016,Taylor and Lattanzio 2016,,Urosaurus ornatus,vertebrate,yellow,,blue,throat,carotenoid,N/A,mature,males,captivity,year round,No,score,76,mean,NA,NA,NA,,NA,41,3.6,NA,0.4,2.561249695,35,4.1,NA,0.5,2.958039892,-0.01942553,0.116225704,-0.019427974,0.117041147,8.544003745
86,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 7,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,chemosensory,30,t,2.08,14,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608954288,0.149901715,0.707257636,0.19245009,5.196152423
87,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 6,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,reposition,30,t,3.221,14,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817673208,0.108793797,1.149755933,0.19245009,5.196152423
88,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 5,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,head-bob bouts,30,t,2.5,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696285632,0.135644799,0.860054268,0.19245009,5.196152423
89,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 4,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,fullshow bouts,30,t,2.42,14,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680651879,0.13844971,0.830327613,0.19245009,5.196152423
90,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 3,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,charge,30,t,2.213,14,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638029385,0.145518593,0.754843084,0.19245009,5.196152423
91,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 2,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,biting,30,t,2.04,14,NA,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59994723,0.151193268,0.693064732,0.19245009,5.196152423
92,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 1,,Sceloporus occidentalis,vertebrate,white,,black,ventral,melanocortin,eumelanin,mature,males,field,year round,No,rate of move toward,30,t,0.42,14,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139806141,0.187126222,0.140727847,0.19245009,5.196152423
93,"Seddon, RJ; Hews, DK",2017,Seddon and Hews 2017,,Sceloporus occidentalis,vertebrate,white,,black,chest,melanocortin,eumelanin,mature,males,field,year round,No,physical contact/retreat,78,F,22.42,1,57,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282296651,0.110042372,0.290175843,0.115470054,8.660254038
94,"Robertson, JM; Rosenblum, EB",2010,Robertson and Rosenblum 2010,,Sceloporus undulatus,vertebrate,light,,dark,body,carotenoid,N/A,mature,males,field,year round,No,seconds,40,mean,NA,NA,NA,,NA,20,27.528,NA,3.964,17.72754693,20,17.913,NA,3.776,16.88678537,0.078905142,0.161715636,0.079069511,0.164398987,6.08276253
95,"Bruinje, AC; Coelho, FEA; Paiva, TMA; Costa, GC",2019,Bruinje et al. 2019,,Tropidurus semitaeniatus,vertebrate,yellow,,black,chest,melanocortin,eumelanin,mature,males,lab,breeding,No,"bite,approach,chase,intimidation posture",267,X2,5.69,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145982401,0.060771429,0.14703287,0.061545745,16.24807681
96,"Andrews, TJ; Summers, CH",1996,Andrews and Summers 1996,,Anolis carolinensis,vertebrate,light green,,dark green,body,melanocortin,eumelanin,mature,both,captivity,year round,Plastic,attacks/bites,55,F,16.393,5,53,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607305598,0.109128616,0.704641404,0.138675049,7.211102551
97,"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997,Reptilia,Anolis carolinensis,vertebrate,green,,brown,body,melanocortin,eumelanin,mature,males,captivity,year round,Plastic,headbobs and bites,10,t,-2.4,9,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782939135,0.219944968,1.05292034,0.377964473,2.645751311
98,"Crothers, LR; Cummings, ME",2015,Crothers and Cummings 2015,,Oophaga pumilio,vertebrate,light red,,bright red,body,carotenoid,N/A,mature,males,field,year round,No,call latency (sec),21,X2,4.26,1,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450396651,0.204828922,0.485197757,0.23570226,4.242640687
99,"Crothers, L; Gering, E; Cummings, M",2011,Crothers et al. 2011,,Oophaga pumilio,vertebrate,dull,,bright,dorsal,carotenoid,N/A,mature,males,captivity,year round,Plastic,approach,75,F,5.9355,1,74,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074253617,0.116718042,0.074390538,0.11785113,8.485281374
100,"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al. 2013,,Oophaga pumilio,vertebrate,green,,red,body,carotenoid,N/A,mature,males,field,year round,Plastic,score,70,mean,NA,NA,NA,,NA,35,0.438,NA,0.225,1.331117951,35,0.745,NA,0.052,0.307636149,-0.025133273,0.121229505,-0.025138567,0.122169444,8.185352772
101,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 8,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,track high red,140,X2,2.1,2,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122474487,0.084484798,0.123092431,0.085435766,11.70469991
102,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 7,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,track high blue,139,X2,4.25,2,NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174858627,0.084119504,0.176674185,0.085749293,11.66190379
103,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 6,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,approach high red,140,X2,2.77,2,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140661702,0.08427931,0.14160057,0.085435766,11.70469991
104,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 5,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,approach high blue,139,X2,1.77,2,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112844198,0.084890061,0.11332687,0.085749293,11.66190379
105,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 4,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,call high red,140,X2,4.16,2,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172378321,0.083851392,0.174116789,0.085435766,11.70469991
106,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 3,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,call high blue,139,X2,0.61,2,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066245673,0.085248093,0.066342835,0.085749293,11.66190379
107,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 2,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,challenge high red,140,X2,2.33,2,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129007198,0.084414314,0.129730113,0.085435766,11.70469991
108,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al. 2018 - 1,,Oophaga pumilio,vertebrate,red,intermediate,blue,body,carotenoid,N/A,mature,males,field,year round,No,challenge high blue,139,X2,3.16,2,NA,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150777362,0.084459042,0.151935786,0.085749293,11.66190379
109,"Reiter, MK; Anthony, CD; Hickerson, CAM",2014,Reiter et al. 2014,Amphibia,Plethodon cinereus,vertebrate,unstriped black,,striped red,dorsal,melanocortin,eumelanin,mature,males,captivity,year round,No,seconds,60,t,2.51,29,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529475284,0.111390577,0.589415758,0.132453236,7.549834435
110,"O'Connor, KI; Metcalfe, NB; Taylor, AC",1999,O'Connor et al. 1999,,Salmo salar,vertebrate,light grey,slate grey,dark grey,body,melanocortin,eumelanin,mature,both,captivity,year round,No,score,33,r,NA,NA,NA,0.19,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,0.174790197,-0.234189467,0.182574186,5.477225575
111,"Suter, HC; Huntingford, FA",2002,Suter and Huntingford 2002,,Salmo salar,vertebrate,pale,,dark,eyes,unknown,N/A,juvenile,both,lab,changing,Plastic,number of acts,7,t,-2.45,6,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886319217,0.207093335,1.404494165,0.5,2
112,"Baube, CL",1997,Baube 1997,,Gasterosteus aculeatus,vertebrate,dull red,,bright red,body,carotenoid,N/A,mature,males,lab,breeding,Plastic,latency seconds,170,X2,10.741,1,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251361001,0.074674598,0.256865075,0.077382323,12.92284798
113,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al. 2015 - 2,,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,number of behaviors,10,F,25.55,1,9.6,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72688478,0.242806126,0.9220903,0.377964473,2.645751311
114,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al. 2015 - 1,,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,females,captivity,year round,No,number of behaviors,6,F,5.06,1,4.8,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184584,0.429139133,0.567043338,0.577350269,1.732050808
115,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al. 2018 - 2,,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,"approach, bite, chase",20,X2,2.18,2,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33015148,0.222485955,0.342998257,0.242535625,4.123105626
116,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al. 2018 - 1,,Gasterosteus aculeatus,vertebrate,red,,black,body,melanocortin,eumelanin,mature,males,captivity,year round,No,wins,20,X2,0.46,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151657509,0.232975917,0.15283653,0.242535625,4.123105626
117,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al. 2015 - 3,,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,N/A,mature,females,captivity,breeding,No,bite rate,40,F,0.25,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006369427,0.16221813,0.006369513,0.164398987,6.08276253
118,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al. 2015 - 2,,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,N/A,mature,females,captivity,breeding,No,lunge,40,F,1.46,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036085022,0.16211577,0.036100697,0.164398987,6.08276253
119,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al. 2015 - 1,,Gasterosteus aculeatus,vertebrate,no red,,red,throat,carotenoid,N/A,mature,females,captivity,breeding,No,chase,40,F,0.02,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512558,0.1622214,0.000512558,0.164398987,6.08276253
120,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al. 2018 - 2,,Gasterosteus aculeatus,vertebrate,less red,,more red,throat,carotenoid,N/A,mature,females,captivity,breeding,No,bite rate,43,F,0.127,1,38,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003330973,0.156172895,0.003330985,0.158113883,6.32455532
121,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al. 2018 - 1,,Gasterosteus aculeatus,vertebrate,less red,,more red,spine,carotenoid,N/A,mature,females,captivity,breeding,No,bite rate,43,F,0.039,1,38,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001025264,0.15617368,0.001025264,0.158113883,6.32455532
122,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 4,,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,N/A,mature,males,lab,year round,No,number of charges,85,mean,NA,NA,NA,,NA,70,6.703,NA,NA,1.058,15,9.937,NA,NA,3.293,-0.204405247,0.107446736,-0.207325601,0.110431526,9.055385138
123,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 3,,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,N/A,mature,males,lab,year round,No,number of lateral displays,85,mean,NA,NA,NA,,NA,70,3.468,NA,NA,0.803,15,1.783,NA,NA,0.431,0.142637582,0.108641919,0.143616908,0.110431526,9.055385138
124,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 2,,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,N/A,mature,males,lab,year round,No,number of tail beats,85,mean,NA,NA,NA,,NA,70,4.645,NA,NA,0.941,15,9.761,NA,NA,3.47,-0.354643215,0.10262977,-0.370745035,0.110431526,9.055385138
125,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 1,,Pelvicachromis pulcher,vertebrate,yellow,,red,ventral,carotenoid,N/A,mature,males,lab,year round,No,number of bites,85,mean,NA,NA,NA,,NA,70,325.038,NA,NA,42.573,15,457.507,NA,NA,135.023,-0.207910916,0.107365666,-0.210986882,0.110431526,9.055385138
126,"Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,Rodriguez-Barreto et al. 2019,,Oreochromis niloticus,vertebrate,lighter,,darker,body,carotenoid,N/A,mature,both,lab,year round,Plastic,number of interactions,120,mean,NA,NA,NA,,NA,60,28.63,NA,5.93,45.93358249,60,7.11,NA,2.09,16.18907039,0.038506316,0.091989188,0.038525364,0.092450033,10.81665383
127,"Dijkstra, PD; Seehausen, O; Groothuis, TGG",2008,Dijkstra et al. 2008,,Haplochromis paludinosus,vertebrate,yellow/ brown,,blue,body,melanocortin,eumelanin,mature,both,lab,breeding,No,attack,46,t,-2.84,45,NA,<.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488620562,0.131533779,0.534246659,0.15249857,6.557438524
128,"Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,Dijkstra et al. 2009a,,Haplochromis paludinosus,vertebrate,red,,blue,body,carotenoid,N/A,mature,males,field,year round,No,attacks,24,F,3.005,1,17,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150212447,0.210781686,0.15135778,0.21821789,4.582575695
129,"Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,Dijkstra et al. 2009b,,Haplochromis paludinosus,vertebrate,plain,orange blotched,black/white blothced,body,melanocortin,eumelanin,mature,females,lab,year round,No,dominance,12,t,-2.67,11,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785932907,0.195527355,1.060703356,0.333333333,3
130,"Clement, TS; Parikh, V; Schrumpf, M; Fernald, RD",2005,Clement et al. 2005,,Astatotilapia burtoni,vertebrate,drably,,bright,body,melanocortin,eumelanin,mature,males,lab,year round,Plastic,territorial,28,F,6.75,1,27,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.192153785,0.202732554,0.2,5
131,"Dijkstra, PD; Maguire, SM; Harris, RM; Rodriguez, AA; DeAngelis, RS; Flores, SA; Hofmann, HA",2017,Dijkstra et al. 2017,,Astatotilapia burtoni,vertebrate,blue,,yellow,body,melanocortin,eumelanin,mature,males,lab,year round,Plastic,chase and bites,20,r,NA,NA,NA,0.003,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,0.1826618,0.744739299,0.242535625,4.123105626
132,"Korzan, WJ; Robison, RR; Zhao, S; Fernald, RD",2008,Korzan et al. 2008,,Astatotilapia burtoni,vertebrate,blue,,yellow,body,melanocortin,eumelanin,mature,males,lab,year round,Plastic,dominance index,16,t,3.1,15,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783187641,0.166179146,1.053562788,0.277350098,3.605551275
133,"Renn, SCP; Fraser, EJ; Aubin-Horth, N; Trainor, BC; Hofmann, HA",2012,Renn et al. 2012,,Astatotilapia burtoni,vertebrate,no black,,black,face,melanocortin,eumelanin,mature,females,lab,year round,Plastic,number of chases,36,mean,NA,NA,NA,,NA,21,0.84,NA,0.16,0.733212111,15,11.46,NA,0.86,3.330765678,-1.022167924,0.024192853,-2.646652412,0.174077656,5.744562647
134,"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al. 2017,,Neolamprologus pulcher,vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,mature,both,captivity,year round,No,score,30,X2,6.84,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477493455,0.166046465,0.519732405,0.19245009,5.196152423
135,"Lehtonen, TK",2014,Lehtonen 2014 - 2,,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,eumelanin,mature,males,field,breeding,Plastic,rate/5 min,80,F,1.044,1,80,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012881891,0.113218308,0.012882604,0.113960576,8.774964387
136,"Lehtonen, TK",2014,Lehtonen 2014 - 1,,Amphilophus sagittae,vertebrate,gold,,dark,body,melanocortin,eumelanin,mature,females,field,breeding,Plastic,rate/5 min,84,F,0.552,1,79,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006938858,0.110428868,0.006938969,0.111111111,9
137,"BARLOW, GW; SIRI, P",1994,Barlow and Siri 1994,,Cichlasoma citrinellum,vertebrate,white,,gold,body,melanocortin,eumelanin,juvenile,both,captivity,year round,Plastic,attacks,30,F,2.685,1,27,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090449722,0.188207603,0.090697601,0.19245009,5.196152423
138,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al. 1998,,Cichlasoma nigrofasciatum,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,mature,females,lab,year round,Plastic,approach/bite,13,r,NA,NA,NA,,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0.229128785,-0.775298706,0.316227766,3.16227766
139,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 9,,Poecilia reticulata,vertebrate,light,intermediate,dark,eyes,unknown,N/A,juvenile,both,captivity,changing,Plastic,aggressive encounters,74,F,3.8,2,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308943089,0.112085915,0.319376554,0.118678166,8.426149773
