Authors,Publication Year,Study,Species,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Age,Sex,Location,Season,Plasticity,Aggression Units,Sample Size,Stat Test,Test Statistic,df1,df2,p-value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
"Dale, S; Slagsvold, T",1996,Dale and Slagsvold 1996,Ficedula hypoleuca,vertebrate,dull,,bright,body,melanocortin,,mature,both,field,breeding,,response time,10,F,5.02,2,73,0.014,,,,,,,,,,,
"Deckel, AW; Jevitts, E",1997,Deckel and Jevitts 1997,Anolis carolinensis,vertebrate,green,,brown,body,melanocortin,,mature,males,captivity,year round,,headbobs and bites,10,t,-2.4,9,,0.02,,,,,,,,,,,
"Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,Dijkstra et al 2009,Pundamilia pundamilia,vertebrate,red,,blue,body,carotenoid,,mature,males,field,year round,,attacks,24,F,3.005,1,17,0.05,,,,,,,,,,,
"Dijkstra, PD; Maguire, SM; Harris, RM; Rodriguez, AA; DeAngelis, RS; Flores, SA; Hofmann, HA",2017,Dijkstra et al 2017,Astatotilapia burtoni,vertebrate,blue,,yellow,body,melanocortin,,mature,males,lab,year round,,chase and bites,20,r,,,,0.003,0.632,,,,,,,,,,
"Dijkstra, PD; Seehausen, O; Groothuis, TGG",2008,Dijkstra et al 2008,Neochromis omnicaeruleus,vertebrate,yellow/ brown,,blue,body,melanocortin,,mature,both,lab,breeding,,attack,46,t,-2.84,45,,<.01,,,,,,,,,,,
"Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,Dijkstra et al 2009,Neochromis omnicaeruleus,vertebrate,plain,orange blotched,black/white blothced,body,melanocortin,,mature,females,lab,year round,,dominance,12,t,-2.67,11,,0.008,,,,,,,,,,,
"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al 2019,Neogonodactylus oerstedii,invertebrate,light meral spots,,dark meral spots,legs,unknown,,mature,both,lab,year round,,strike,18,X2,5.44,1,,0.02,,,,,,,,,,,
"Hasegawa, M; Ligon, RA; Giraudeau, M; Watanabe, M; McGraw, KJ",2014,Hasegawa et al 2014,Haemorhous mexicanus,vertebrate,drab,,colorful,body,carotenoid,,mature,males,captivity,breeding,,score,4,t,-0.98,3,,0.001,,,,,,,,,,,
"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al 2006,Mnais costalis,invertebrate,clear,,orange,wings,carotenoid,,mature,males,field,year round,,time,56,F,5.75,2,55,0.005,,,,,,,,,,,
"Horth, L",2003,Horth 2003,Gambusia holbrooki,vertebrate,silver,,black,body,melanocortin,,mature,males,captivity,year round,,time,8,t,2.74,7,,0.029,,,,,,,,,,,
