"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","SE_r","Fisher_Z","SE_Z","Weight"
"34","Cross, FR; Jackson, RR; Taylor, LA",2020,"Cross et al 2020","Evarcha culicivora","invertebrate","black","","bright red","face","melanocortin","pheomelanin","mature","males","captivity","year round","Plastic","wilcoxon",11,"t",3.52,10,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932334329922027,0.120532474761343,1.67595254303084,0.353553390593274,2.82842712474619
"35","Dale, S; Slagsvold, T",1996,"Dale and Slagsvold 1996","Ficedula hypoleuca","vertebrate","dull","","bright","body","melanocortin","eumelanin","mature","both","field","breeding","Plastic","response time",10,"F",5.02,2,73,"0.014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120905587668593,0.350959726833171,0.12149994864285,0.377964473009227,2.64575131106459
"36","HUHTA, E; ALATALO, RV",1993,"Huhta and Alatalo 1993 - 1","Ficedula hypoleuca","vertebrate","brown","","black","body","melanocortin","eumelanin","mature","males","field","year round","Plastic","rank",36,"r",NA,NA,NA,"",-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.167674404374529,-0.21317134656486,0.174077655955698,5.74456264653803
"37","HUHTA, E; ALATALO, RV",1993,"Huhta and Alatalo 1993 - 2","Ficedula hypoleuca","vertebrate","brown","","black","body","melanocortin","eumelanin","juvenile","males","field","year round","Plastic","rank",31,"r",NA,NA,NA,"",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.183594380501485,0.151140435936467,0.188982236504614,5.29150262212918
"38","Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,"Karlsson et al 2011","Gallus gallus domesticus","vertebrate","white","","wild type","body","melanocortin","pheomelanin","both","males","domestic","year round","Plastic","",31,"F",6.39,1,30,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175597691673537,0.182810006015189,0.177436660996052,0.188982236504614,5.29150262212918
"39","Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,"Nie et al 2019 - 1","Gallus gallus domesticus","vertebrate","white","","red","body","carotenoid","N/A","mature","females","domestic","year round","No","chase and attack",10,"mean",NA,NA,NA,"",NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,12.89,0.59507748573359,0.284139663276044,0.68549093421659,0.377964473009227,2.64575131106459
"40","Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,"Nie et al 2019 - 2","Gallus gallus domesticus","vertebrate","white","","red","body","carotenoid","N/A","mature","females","domestic","year round","No","peak and threat",10,"mean",NA,NA,NA,"",NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.57,0.635378285839187,0.273014293097462,0.750384503733038,0.377964473009227,2.64575131106459
"41","O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,"O'Connor et al 2011","Gallus gallus domesticus","vertebrate","small","","large","comb","carotenoid","N/A","mature","females","domestic","year round","No","dominance score",120,"F",13.68,1,110,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110608020698577,0.0914926071736587,0.111062425398402,0.0924500327042048,10.816653826392
"42","Horth, L",2003,"Horth 2003","Gambusia holbrooki","vertebrate","silver","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","time",8,"t",2.74,7,NA,"0.029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901597533477004,0.176598361462851,1.48069187446638,0.447213595499958,2.23606797749979
"43","Baube, CL",1997,"Baube 1997","Gasterosteus aculeatus","vertebrate","dull red","","bright red","body","carotenoid","N/A","mature","males","lab","breeding","Plastic","latency seconds",170,"X2",10.741,1,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251361001233637,0.0746745975429884,0.256865074627847,0.0773823232534137,12.9228479833201
"44","Tinghitella, RM; Lehto, WR; Minter, R",2015,"Tinghitella et al 2015 - 1","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","number of behaviors",10,"F",25.55,1,9.6,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726884779516358,0.242806125671145,0.922090299795831,0.377964473009227,2.64575131106459
"45","Tinghitella, RM; Lehto, WR; Minter, R",2015,"Tinghitella et al 2015 - 2","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","females","captivity","year round","No","number of behaviors",6,"F",5.06,1,4.8,"0.077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184584178499,0.429139133196199,0.567043338430885,0.577350269189626,1.73205080756888
"46","Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,"Tinghitella et al 2018 - 1","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","approach, bite, chase",20,"X2",2.18,2,NA,"0.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330151480384384,0.22248595461287,0.342998256529633,0.242535625036333,4.12310562561766
"47","Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,"Tinghitella et al 2018 - 2","Gasterosteus aculeatus","vertebrate","red","","black","body","melanocortin","eumelanin","mature","males","captivity","year round","No","wins",20,"X2",0.46,1,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151657508881031,0.232975916733421,0.152836530222029,0.242535625036333,4.12310562561766
"48","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 1","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",40,"F",0.25,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00636942675159236,0.162218130468535,0.00636951288871486,0.164398987305357,6.08276253029822
"49","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 2","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","lunge",40,"F",1.46,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0360850222441918,0.162115770132078,0.0361006969415701,0.164398987305357,6.08276253029822
"50","Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,"Yong et al 2015 - 3","Gasterosteus aculeatus","vertebrate","no red","","red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","chase",40,"F",0.02,1,39,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512557662737058,0.162221399821732,0.000512557707622675,0.164398987305357,6.08276253029822
"51","Yong, LX; Lee, B; Mckinnon, JS",2018,"Yong et al 2018 - 1","Gasterosteus aculeatus","vertebrate","less red","","more red","throat","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",43,"F",0.127,1,38,"0.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00333097280142681,0.156172895482601,0.0033309851209783,0.158113883008419,6.32455532033676
"52","Yong, LX; Lee, B; Mckinnon, JS",2018,"Yong et al 2018 - 2","Gasterosteus aculeatus","vertebrate","less red","","more red","spine","carotenoid","N/A","mature","females","captivity","breeding","No","bite rate",43,"F",0.039,1,38,"0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00102526354530876,0.156173679806362,0.00102526390454946,0.158113883008419,6.32455532033676
"53","Hasegawa, M; Ligon, RA; Giraudeau, M; Watanabe, M; McGraw, KJ",2014,"Hasegawa et al 2014","Haemorhous mexicanus","vertebrate","drab","","colorful","body","carotenoid","N/A","mature","males","captivity","breeding","No","score",4,"t",-0.98,3,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617186599923224,0.556363505666578,0.720447793683586,1,1
"54","McGraw, KJ; Medina-Jerez, W; Adams, H",2007,"McGraw et al 2007","Haemorhous mexicanus","vertebrate","light red","","bright red","ventral","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","encounters won",16,"t",-1.72,15,NA,"0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50869159868568,0.230098248802333,0.560963012026022,0.277350098112615,3.60555127546399
"55","Dijkstra, PD; Seehausen, O; Groothuis, TGG",2008,"Dijkstra et al 2008","Haplochromis paludinosus","vertebrate","yellow/ brown","","blue","body","melanocortin","eumelanin","mature","both","lab","breeding","No","attack",46,"t",-2.84,45,NA,"<.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488620562165698,0.13153377946963,0.53424665923489,0.152498570332605,6.557438524302
"56","Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,"Dijkstra et al 2009","Haplochromis paludinosus","vertebrate","red","","blue","body","carotenoid","N/A","mature","males","field","year round","No","attacks",24,"F",3.005,1,17,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150212446888278,0.210781685938948,0.151357779995529,0.218217890235992,4.58257569495584
"57","Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,"Dijkstra et al 2009","Haplochromis paludinosus","vertebrate","plain","orange blotched","black/white blothced","body","melanocortin","eumelanin","mature","females","lab","year round","No","dominance",12,"t",-2.67,11,NA,"0.008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78593290723574,0.195527354946559,1.06070335565895,0.333333333333333,3
"58","Baird, TA; Baird, TD; Shine, R",2013,"Baird et al 2013","Intellagama lesueurii","vertebrate","drab red","","bright red","ventral","carotenoid","N/A","mature","males","field","breeding","No","latency seconds",38,"X2",2.95,37,NA,"0.086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278624440685609,0.160066689318046,0.286190117483564,0.169030850945703,5.91607978309962
"59","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 1","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","scratching time",238,"F",0.16,1,233,"0.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000686224052153028,0.0650944401638083,0.00068622415986811,0.0652328073053442,15.3297097167559
"60","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 2","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","bite attempts",238,"X2",3.95,2,NA,"0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128827942060184,0.064552020847745,0.129547827986878,0.0652328073053442,15.3297097167559
"61","Vercken, E; Clobert, J",2008,"Vercken and Clobert 2008 - 3","Lacerta vivipara","vertebrate","orange","mixed","yellow","ventral","carotenoid","N/A","mature","females","captivity","year round","No","flee attempts",231,"X2",16.18,1,NA,"0.0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264656928953863,0.0637255547774101,0.271109504165393,0.0662266178532522,15.0996688705415
"62","Morimoto, G; Yamaguchi, N; Ueda, K",2006,"Morimoto et al 2006","Luscinia cyanura","vertebrate","olive-brown","","blue","body","unknown","N/A","both","males","field","year round","Plastic","fighting, chasing, threatening",74,"F",9.411,2,14,"0.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573456827737493,0.0965478628223998,0.652658346348607,0.118678165819385,8.42614977317636
"63","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 1","Malurus amabilis","vertebrate","less blue","","more blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score (attacks + displays)",64,"t",-2.76,35.6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526185283920356,0.107997091282937,0.584855135789458,0.128036879932896,7.81024967590665
"64","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 2","Malurus amabilis","vertebrate","grey","","blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",0.34,59.91,NA,"0.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055001001893319,0.126807886812749,0.0550565641415096,0.128036879932896,7.81024967590665
