"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","SE_r","Fisher_Z","SE_Z","Weight"
"65","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 3","Malurus amabilis","vertebrate","blender","","blue","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",-2.47,59.62,NA,"0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381860855066874,0.117376035319052,0.402236364893779,0.128036879932896,7.81024967590665
"66","Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,"Leitao et al. 2019 - 4","Malurus amabilis","vertebrate","blender","","grey","cheek","unknown","N/A","mature","both","captivity","year round","No","score",64,"t",-2.29,60,NA,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355324209487549,0.11871249534417,0.371524216815803,0.128036879932896,7.81024967590665
"67","Barron, DG; Webster, MS; Schwabl, H",2015,"Barron et al 2015","Malurus melanocephalus","vertebrate","brown","","black","body","melanocortin","eumelanin","mature","males","field","breeding","No","territorality",48,"F",4.03,1,44,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0839058921507391,0.146922029104348,0.0841036328240791,0.149071198499986,6.70820393249937
"68","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 1","Manacus candei","vertebrate","white","","golden","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","attack",34,"mean",NA,NA,NA,"",NA,17,5.9,NA,NA,16.6,17,23.5,NA,NA,31.2,-0.161131844572645,0.174466734711146,-0.162548493625122,0.179605302026775,5.56776436283002
"69","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 2","Manacus vitellinus","vertebrate","white","lemon","","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","attack",34,"mean",NA,NA,NA,"",NA,17,5.9,NA,NA,16.6,17,26.5,NA,NA,35.9,-0.185131718505103,0.173720883064198,-0.187291359933494,0.179605302026775,5.56776436283002
"70","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 3","Manacus vitellinus","vertebrate","","lemon","golden","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","calls",34,"mean",NA,NA,NA,"",NA,17,383.1,NA,NA,151.5,17,195.9,NA,NA,80.2,0.196220933949759,0.173340105093271,0.198799103443422,0.179605302026775,5.56776436283002
"71","McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,"McDonald et al 2001 - 4","Manacus vitellinus","vertebrate","white","lemon","","collar and belly","carotenoid","N/A","mature","males","field","breeding","No","calls",34,"mean",NA,NA,NA,"",NA,17,199.8,NA,NA,111.2,17,383.1,NA,NA,151.5,-0.253443915864465,0.171004950724322,-0.259089715478998,0.179605302026775,5.56776436283002
"72","Beck, ML; Davies, S; Sewall, KB",2018,"Beck et al 2015","Melospiza melodia","vertebrate","light brown","","dark brown","body","melanocortin","eumelanin","mature","males","field","breeding","No","score",67,"F",4.877,1,65,"0.035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0697940667172317,0.123732266064277,0.0699077263245719,0.125,8
"73","Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,"Hooper et al 2006","Mnais costalis","invertebrate","clear","","orange","wings","carotenoid","N/A","mature","males","field","year round","Plastic","time",56,"F",5.75,2,55,"0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172932330827068,0.134032500823268,0.17468782072856,0.137360563948689,7.28010988928052
"74","Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,"Carola et al 2014","Mus musculus","vertebrate","agouti","","non-agouti","body","melanocortin ","pheomelanin","mature","both","domestic","year round","No","number of attacks",20,"F",5.4,1,18,"0.032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230769230769231,0.229340305384594,0.235001814622868,0.242535625036333,4.12310562561766
"75","Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,"Franklin et al 2019","Neogonodactylus oerstedii","invertebrate","light meral spots","","dark meral spots","legs","unknown","N/A","mature","both","lab","year round","No","strike",18,"X2",5.44,1,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549747416749021,0.208832734769028,0.618019259144172,0.258198889747161,3.87298334620742
"76","Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,"Balzarini et al 2017","Neolamprologus pulcher","vertebrate","no stripes","light stripes","dark stripes","body","melanocortin","eumelanin","mature","both","captivity","year round","No","score",30,"X2",6.84,2,NA,"0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477493455452533,0.16604646509766,0.519732405293236,0.192450089729875,5.19615242270663
"77","Crothers, LR; Cummings, ME",2015,"Crothers and Cummings 2015","Oophaga pumilio","vertebrate","light red","","bright red","body","carotenoid","N/A","mature","males","field","year round","No","call latency (sec)",21,"X2",4.26,1,NA,"0.039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450396650583841,0.204828921830012,0.485197757481756,0.235702260395516,4.24264068711928
"78","Crothers, L; Gering, E; Cummings, M",2011,"Crothers et al 2011","Oophaga pumilio","vertebrate","dull","","bright","dorsal","carotenoid","N/A","mature","males","captivity","year round","Plastic","approach",75,"F",5.9355,1,74,"0.018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0742536169786891,0.116718042199443,0.0743905384615354,0.117851130197758,8.48528137423857
"79","Rudh, A; Breed, MF; Qvarnstrom, A",2013,"Rudh et al 2013","Oophaga pumilio","vertebrate","green","","red","body","carotenoid","N/A","mature","males","field","year round","Plastic","score",70,"mean",NA,NA,NA,"",NA,35,0.438,NA,0.225,1.331117951,35,0.745,NA,0.052,0.307636149,-0.0251332727893821,0.121229505156839,-0.0251385668696869,0.122169444356305,8.18535277187245
"80","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 1","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","track high red",140,"X2",2.1,2,NA,"0.351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122474487139159,0.0844847983924936,0.123092430674458,0.0854357657716761,11.7046999107196
"81","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 2","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","track high blue",139,"X2",4.25,2,NA,"0.119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174858627377506,0.0841195039931636,0.176674184902702,0.0857492925712544,11.6619037896906
"82","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 3","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","approach high red",140,"X2",2.77,2,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140661701559857,0.0842793098594986,0.141600570144953,0.0854357657716761,11.7046999107196
"83","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 4","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","approach high blue",139,"X2",1.77,2,NA,"0.412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112844197678216,0.0848900614513519,0.113326869802684,0.0857492925712544,11.6619037896906
"84","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 5","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","call high red",140,"X2",4.16,2,NA,"0.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172378321474267,0.083851391763173,0.174116788981997,0.0854357657716761,11.7046999107196
"85","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 6","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","call high blue",139,"X2",0.61,2,NA,"0.736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066245673131406,0.0852480926768832,0.0663428352374719,0.0857492925712544,11.6619037896906
"86","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 7","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","challenge high red",140,"X2",2.33,2,NA,"0.312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129007198027308,0.0844143139373621,0.129730113492203,0.0854357657716761,11.7046999107196
"87","Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,"Yang et al 2018 - 8","Oophaga pumilio","vertebrate","red","intermediate","blue","body","carotenoid","N/A","mature","males","field","year round","No","challenge high blue",139,"X2",3.16,2,NA,"0.205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150777362192208,0.0844590423370072,0.151935786419774,0.0857492925712544,11.6619037896906
"88","Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,"Rodriguez-Barreto et al 2019","Oreochromis niloticus","vertebrate","lighter","","darker","body","carotenoid","N/A","mature","both","lab","year round","Plastic","number of interactions",120,"mean",NA,NA,NA,"",NA,60,28.63,NA,5.93,45.93358249,60,7.11,NA,2.09,16.18907039,0.0385063155403154,0.0919891880006166,0.0385253640606278,0.0924500327042048,10.816653826392
"89","Moore, MP; Martin, RA",2016,"Moore and Martin 2016","Pachydiplax longipennis","invertebrate","less black","","more black","wing tips","melanocortin","eumelanin","mature","males","field","year round","No","contests won",155,"X2",6.5,1,NA,"0.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204781551588437,0.0791319125419239,0.207718344857906,0.0811107105653813,12.328828005938
"90","Bailey, A; Eberly, LE; Packer, C",2015,"Bailey et al 2015","Papio anubis","vertebrate","light grey","","dark grey","body","melanocortin","eumelanin","mature","females","captivity","breeding","No","rank",30,"X2",1.8,1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244948974278318,0.183225076262581,0.250032246420419,0.192450089729875,5.19615242270663
"91","McGraw, KJ; Dale, J; Mackillop, EA",2003,"McGraw et al 2003","Passer domesticus","vertebrate","small size","","large size","body","melanocortin","eumelanin","mature","males","captivity","non-breeding","Plastic","rankinteraction rate",42,"F",4.05,1,42,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0879478827361563,0.15750120395748,0.0881756949037255,0.160128153805087,6.2449979983984
"92","Seaver, CMS; Hurd, PL",2017,"Seaver and Hurd 2017 - 1","Pelvicachromis pulcher","vertebrate","yellow","","red","ventral","carotenoid","N/A","mature","males","lab","year round","No","number of charges",85,"mean",NA,NA,NA,"",NA,70,6.703,NA,NA,1.058,15,9.937,NA,NA,3.293,-0.204405247286949,0.107446736307583,-0.207325600893819,0.110431526074847,9.05538513813742
"93","Seaver, CMS; Hurd, PL",2017,"Seaver and Hurd 2017 - 2","Pelvicachromis pulcher","vertebrate","yellow","","red","ventral","carotenoid","N/A","mature","males","lab","year round","No","number of lateral displays",85,"mean",NA,NA,NA,"",NA,70,3.468,NA,NA,0.803,15,1.783,NA,NA,0.431,0.142637581504169,0.108641918752166,0.143616907850758,0.110431526074847,9.05538513813742
"94","Seaver, CMS; Hurd, PL",2017,"Seaver and Hurd 2017 - 3","Pelvicachromis pulcher","vertebrate","yellow","","red","ventral","carotenoid","N/A","mature","males","lab","year round","No","number of tail beats",85,"mean",NA,NA,NA,"",NA,70,4.645,NA,NA,0.941,15,9.761,NA,NA,3.47,-0.354643215251939,0.102629770327812,-0.370745035177118,0.110431526074847,9.05538513813742
"95","Seaver, CMS; Hurd, PL",2017,"Seaver and Hurd 2017 - 4","Pelvicachromis pulcher","vertebrate","yellow","","red","ventral","carotenoid","N/A","mature","males","lab","year round","No","number of bites",85,"mean",NA,NA,NA,"",NA,70,325.038,NA,NA,42.573,15,457.507,NA,NA,135.023,-0.207910915751978,0.10736566563835,-0.210986882468433,0.110431526074847,9.05538513813742
"96","Rose, P; Soole, L",2020,"Rose and Soole 2020","Phoenicoparrus minor","vertebrate","white","","pink","body","carotenoid","N/A","mature","both","captivity","year round","Plastic","seconds",45,"F",6.45,4,40,"0.00004",0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39209726443769,0.140287059127404,0.414275908783074,0.154303349962092,6.48074069840786
"97","BRACE, RC",1981,"Brace 1981 - 1","Phymactis clematis","invertebrate","green","","red","ventral","carotenoid","N/A","mature","both","captivity","year round","No","first aggressor",29,"X2",4.17,1,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379200611086369,0.178076855708295,0.399125679233456,0.196116135138184,5.09901951359278
"98","BRACE, RC",1981,"Brace 1981 - 2","Phymactis clematis","invertebrate","green","","red","ventral","carotenoid","N/A","mature","both","captivity","year round","No","first attacker",18,"X2",0.22,1,NA,"NS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110554159678513,0.248467525264593,0.11100789760276,0.258198889747161,3.87298334620742
"99","BRACE, RC",1981,"Brace 1981 - 3","Phymactis clematis","invertebrate","green","","red","ventral","carotenoid","N/A","mature","both","captivity","year round","No","winner",14,"X2",2.57,1,NA,"NS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428452364413395,0.26083656623586,0.457999521458998,0.301511344577764,3.3166247903554
"100","Reiter, MK; Anthony, CD; Hickerson, CAM",2014,"Reiter et al 2014","Plethodon cinereus","vertebrate","unstriped black","","striped red","dorsal","melanocortin","eumelanin","mature","males","captivity","year round","No","seconds",60,"t",2.51,29,NA,"0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529475284221556,0.111390577466184,0.589415757775761,0.132453235706504,7.54983443527075
"101","Titone, V; Marsiglia, F; Mangiacotti, M; Sacchi, R; Scali, S; Zuffi, MAL",2018,"Titone et al 2018","Podarcis siculus","vertebrate","white","","green","ventral","unknown","N/A","mature","males","captivity","year round","No","score",30,"F",0.317,1,29,"0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108128389671522,0.188971188517633,0.0108132604000344,0.192450089729875,5.19615242270663
"102","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 1","Poecilia reticulata","vertebrate","light","intermediate","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","aggressive encounters",74,"F",3.8,2,17,"0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308943089430894,0.112085914932654,0.319376554247073,0.118678165819385,8.42614977317636
"103","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 2","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","mutual display",33,"X2",21.3,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803401858010389,0.106943677450458,1.10813416219643,0.182574185835055,5.47722557505166
"104","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 3","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","display",12,"X2",21.3,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33229125944742,0.044609416046391,2.64665241236225,0.333333333333333,3
"105","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 4","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","chase",61,"X2",21.3,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590914822854235,0.105027814889809,0.679070549301639,0.131306432859723,7.61577310586391
"106","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 5","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","nip",64,"X2",21.3,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576899037960716,0.103735667490393,0.657802365909144,0.128036879932896,7.81024967590665
"107","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 6","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","mutual display",27,"X2",18.18,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820568908339411,0.114309521329882,1.15855653723606,0.204124145231932,4.89897948556636
"108","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 7","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","display",11,"X2",18.18,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28558440902466,0.047022453265553,2.64665241236225,0.353553390593274,2.82842712474619
"109","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 8","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","chase",16,"X2",18.18,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06595028026639,0.0377018377725619,2.64665241236225,0.277350098112615,3.60555127546399
"110","MARTIN, FD; HENGSTEBECK, MF",1981,"Martin and Hengstebeck 1981 - 9","Poecilia reticulata","vertebrate","light","","dark","eyes","unknown","N/A","juvenile","both","captivity","changing","Plastic","nip",11,"X2",18.18,6,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28558440902466,0.047022453265553,2.64665241236225,0.353553390593274,2.82842712474619
"111","Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,"Petrocelli et al 2015","Polistes gallicus","invertebrate","small black","","large black","head","melanocortin","eumelanin","mature","females","captivity","year round","No","dominance",42,"X2",4.011,1,NA,"0.042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309030742807249,0.150374532418226,0.319473459445195,0.160128153805087,6.2449979983984
"112","Stapley, J",2006,"Stapley 2006","Pseudemoia entrecasteauxii","vertebrate","white","","orange","ventral","carotenoid","N/A","mature","males","captivity","year round","Plastic","interactions",32,"F",22.46,1,31,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420127197904976,0.165679724929406,0.447846474908263,0.185695338177052,5.3851648071345
"113","O'Connor, KI; Metcalfe, NB; Taylor, AC",1999,"O'Connor et al 1999","Salmo salar","vertebrate","light grey","slate grey","dark grey","body","melanocortin","eumelanin","mature","both","captivity","year round","No","score",33,"r",NA,NA,NA,"0.19",-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,0.174790196816715,-0.234189466759367,0.182574185835055,5.47722557505166
"114","Suter, HC; Huntingford, FA",2002,"Suter and Huntingford 2002","Salmo salar","vertebrate","pale","","dark","eyes","unknown","N/A","juvenile","both","lab","changing","Plastic","number of acts",7,"t",-2.45,6,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886319216723558,0.207093334545822,1.40449416543512,0.5,2
"115","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 1","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","chemosensory",30,"t",2.08,14,NA,"0.047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.608954287752782,0.149901714874816,0.707257635986246,0.192450089729875,5.19615242270663
"116","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 2","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","reposition",30,"t",3.221,14,NA,"0.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817673207611352,0.108793796690699,1.14975593261714,0.192450089729875,5.19615242270663
"117","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 3","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","head-bob bouts",30,"t",2.5,14,NA,"0.035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696285631841945,0.135644798606305,0.860054267937251,0.192450089729875,5.19615242270663
"118","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 4","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","fullshow bouts",30,"t",2.42,14,NA,"0.022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680651879403265,0.13844970967632,0.830327612844502,0.192450089729875,5.19615242270663
"119","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 5","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","charge",30,"t",2.213,14,NA,"0.035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638029384620213,0.14551859286717,0.754843084016817,0.192450089729875,5.19615242270663
"120","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 6","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","biting",30,"t",2.04,14,NA,"0.051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599947230375088,0.151193268081105,0.693064732099685,0.192450089729875,5.19615242270663
"121","Seddon, RJ; Hews, DK",2016,"Seddon and Hews 2016 - 7","Sceloporus occidentalis","vertebrate","white","","black","ventral","melanocortin","eumelanin","mature","males","field","year round","No","rate of move toward",30,"t",0.42,14,NA,"0.681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1398061414144,0.187126221994561,0.140727847366159,0.192450089729875,5.19615242270663
"122","Seddon, RJ; Hews, DK",2017,"Seddon and Hews 2017","Sceloporus occidentalis","vertebrate","white","","black","chest","melanocortin","eumelanin","mature","males","field","year round","No","physical contact/retreat",78,"F",22.42,1,57,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282296650717703,0.110042372281243,0.2901758432073,0.115470053837925,8.66025403784439
"123","Robertson, JM; Rosenblum, EB",2010,"Robertson and Rosenblum 2010","Sceloporus undulatus","vertebrate","light","","dark","body","carotenoid","N/A","mature","males","field","year round","No","seconds",40,"mean",NA,NA,NA,"",NA,20,27.528,NA,3.964,17.72754693,20,17.913,NA,3.776,16.88678537,0.078905141956003,0.161715635621761,0.0790695114499392,0.164398987305357,6.08276253029822
"124","Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,"Leitao et al. 2015 - 1","Serinus serinus","vertebrate","less yellow","","more yellow","head","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","score (attacks + displays)",28,"F",9.977,1,17,"0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36983356192312,0.182211113449298,0.388230275938373,0.2,5
"125","Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,"Leitao et al. 2015 - 2","Serinus serinus","vertebrate","less yellow","","more yellow","chest","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","score (attacks + displays)",28,"F",0.82,1,17,"0.379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0460157126823793,0.195908392464274,0.0460482326006145,0.2,5
"126","Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,"Leitao et al. 2015 - 3","Serinus serinus","vertebrate","less yellow","","more yellow","throat","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","score (attacks + displays)",28,"F",0.793,1,17,"0.385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0445680885741584,0.195921264157986,0.0445976325394657,0.2,5
"127","Leitao, AV; Ferreira, AC; Funghi, C; Trigo, S; Mota, PG",2015,"Leitao et al. 2015 - 4","Serinus serinus","vertebrate","less yellow","","more yellow","belly","carotenoid","N/A","mature","males","captivity","non-breeding","Plastic","score (attacks + displays)",28,"F",0.001,1,17,"0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88200694076819e-05,0.196116134798923,5.88200694755303e-05,0.2,5
"128","Mafli A, Kazumasa Wakamatsu, Alexandre Roulin",2011,"Mafli et al 2011","Testudo hermanni","vertebrate","light","","dark","shell","melanocortin","pheomelanin","mature","males","captivity","year round","Plastic","index",23,"r",NA,NA,NA,"0.0001",0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.157948153036429,0.847955755218963,0.223606797749979,4.47213595499958
"129","Bruinje, AC; Coelho, FEA; Paiva, TMA; Costa, GC",2019,"Bruinje et al 2019","Tropidurus semitaeniatus","vertebrate","yellow","","black","chest","melanocortin","eumelanin","mature","males","lab","breeding","No","bite,approach,chase,intimidation posture",267,"X2",5.69,1,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145982401073626,0.0607714288187063,0.147032869554556,0.0615457454896664,16.2480768092719
"130","Bright, A; Waas, JR",2002,"Bright and Wass 2002","Turdus merula","vertebrate","orange","yellow","brown","beak","melanocortin","pheomelanin","mature","both","field","breeding","No","approach",88,"F",4.6,1,87,"0.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0502183406113537,0.107696716619114,0.0502606195085385,0.108465228909328,9.21954445729289
"131","Brown, DM; Lattanzio, MS",2018,"Brown and Lattanzio 2018","Urosaurus graciosus","vertebrate","yellow","","orange","throat","carotenoid","N/A","mature","males","captivity","year round","No","score",20,"X2",5.4,1,NA,"0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519615242270663,0.20138409955991,0.575812545150118,0.242535625036333,4.12310562561766
"132","McElroy, EJ; Marien, C; Meyers, JJ; Irschick, DJ",2007,"McElroy et al 2007","Urosaurus ornatus","vertebrate","orange","yellow","blue","ventral","carotenoid","N/A","mature","males","field","year round","No","number of pushups per display",43,"F",10.84,1,32,"0.002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253034547152194,0.151091437179488,0.25865229493185,0.158113883008419,6.32455532033676
"133","Taylor, JN; Lattanzio, MS",2016,"Taylor and Lattanzio 2016","Urosaurus ornatus","vertebrate","yellow","","blue","throat","carotenoid","N/A","mature","males","captivity","year round","No","score",76,"mean",NA,NA,NA,"",NA,41,3.6,NA,0.4,2.561249695,35,4.1,NA,0.5,2.958039892,-0.0194255298608633,0.116225703580717,-0.0194279738299629,0.117041147196131,8.54400374531753
"134","Culumber, ZW; Monks, S",2014,"Culumber and Monks 2014","Xiphophorus variatus","vertebrate","not yellow-red","","yellow-red","dorsal and caudal fin","carotenoid","N/A","mature","males","lab","year round","Plastic","attacks",65,"X2",1.56,NA,NA,"0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154919333848297,0.124467118115844,0.15617684699531,0.127000127000191,7.87400787401181
