,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
55,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 2,Gasterosteus aculeatus,"Washington, USA",vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,females,captivity,year round,No,Direct,number of behaviors,6,F,5.06,1,4.8,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 1,Gasterosteus aculeatus,"Washington, USA",vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Direct,"approach, bite, chase",20,X2,2.18,2,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 2,Gasterosteus aculeatus,"Washington, USA",vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Indirect,wins,20,X2,0.46,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 1,Gasterosteus aculeatus,"Little Campbell River, British Columbia, Canada",vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,bite rate,40,F,0.25,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 2,Gasterosteus aculeatus,"Little Campbell River, British Columbia, Canada",vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,lunge,40,F,1.46,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Yong, L; Woodall, BE; Pierotti, MER; McKinnon, JS",2015,Yong et al 2015 - 3,Gasterosteus aculeatus,"Little Campbell River, British Columbia, Canada",vertebrate,no red,,red,throat,carotenoid,N/A,isolated 24 hr prior,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Direct,chase,40,F,0.02,1,39,>0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 1,Gasterosteus aculeatus,"Little Campbell River, BC, Canada and Matadero Creek, CA, USA",vertebrate,less red,,more red,throat,carotenoid,N/A,uncontrolled,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Indirect,bite rate,43,F,0.127,1,38,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Yong, LX; Lee, B; Mckinnon, JS",2018,Yong et al 2018 - 2,Gasterosteus aculeatus,"Little Campbell River, BC, Canada and Matadero Creek, CA, USA",vertebrate,less red,,more red,spine,carotenoid,N/A,uncontrolled,Exp,Size matched,length,mature,females,captivity,breeding,Plastic,Indirect,bite rate,43,F,0.039,1,38,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"McGraw, KJ; Medina-Jerez, W; Adams, H",2007,McGraw et al 2007,Haemorhous mexicanus,"Tempe, AZ, USA",vertebrate,light red,,bright red,ventral,carotenoid,N/A,new individuals,Exp,NS,Weight and length,mature,males,captivity,non-breeding,No,Indirect,encounters won,16,t,-1.72,15,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Dijkstra, PD; van Dijk, S; Groothuis, TGG; Pierotti, MER; Seehausen, O",2009,Dijkstra et al 2009b,Haplochromis omnicaeruleus,"Makobe Island, Tanzania",vertebrate,plain,orange blotched,black/white blothced,body,melanocortin,eumelanin,isolated,Exp,Size matched,weight,mature,females,lab,year round,No,Indirect,rank,12,X2,9.5,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Dijkstra, PD; Hemelrijk, C; Seehausen, O; Groothuis, TGG",2009,Dijkstra et al 2009a,Haplochromis paludinosus,"Kissenda Island, Lake Victoria, Tanzania",vertebrate,red,,blue,body,unknown,N/A,isolated,Exp,Size matched,weight,mature,males,field,year round,No,Direct,attacks,24,F,8.378,1,12,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 1,Lacerta vivipara,"Mont Lozère, France",vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,scratching time,238,F,0.16,1,233,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 2,Lacerta vivipara,"Mont Lozère, France",vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,bite attempts,238,X2,3.95,2,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Vercken, E; Clobert, J",2008,Vercken and Clobert 2008 - 3,Lacerta vivipara,"Mont Lozère, France",vertebrate,orange,mixed,yellow,ventral,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,females,captivity,year round,Plastic,Direct,flee attempts,231,X2,16.18,1,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 1,Malurus amabilis,"Cairns, North Queensland, Australia",vertebrate,less blue,,more blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score (attacks + displays),64,t,-2.76,35.6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 2,Malurus amabilis,"Cairns, North Queensland, Australia",vertebrate,grey,,blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,0.34,59.91,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 3,Malurus amabilis,"Cairns, North Queensland, Australia",vertebrate,blender,,blue,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,-2.47,59.62,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Leitao, AV; Hall, ML; Delhey, K; Mulder, RA",2019,Leitao et al. 2019 - 4,Malurus amabilis,"Cairns, North Queensland, Australia",vertebrate,blender,,grey,cheek,structural,N/A,mirror,Exp,Covariate,Length,mature,both,captivity,breeding,No,Indirect,score,64,t,-2.29,60,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Barron, DG; Webster, MS; Schwabl, H",2015,Barron et al 2015,Malurus melanocephalus,"Herberton, Queensland, Australia",vertebrate,auk,brown,red/black,body,carotenoid,N/A,dummy used,Exp,Size matched,Length,mature,males,field,breeding,No,Indirect,territorality PC,48,F,3.18,1,44,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 1,Manacus candei,"Bocas del Toro, Panama and Soberania National Park, Gamboa, Panama",vertebrate,white,,golden,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Direct,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,23.5,NA,NA,31.2
76,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 2,Manacus vitellinus,"Bocas del Toro, Panama and Soberania National Park, Gamboa, Panama",vertebrate,white,lemon,,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Direct,attack,34,mean,NA,NA,NA,,NA,17,5.9,NA,NA,16.6,17,26.5,NA,NA,35.9
77,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 3,Manacus vitellinus,"Bocas del Toro, Panama and Soberania National Park, Gamboa, Panama",vertebrate,,lemon,golden,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Indirect,calls,34,mean,NA,NA,NA,,NA,17,383.1,NA,NA,151.5,17,195.9,NA,NA,80.2
78,"McDonald, DB; Clay, RP; Brumfield, RT; Braun, MJ",2001,McDonald et al 2001 - 4,Manacus vitellinus,"Bocas del Toro, Panama and Soberania National Park, Gamboa, Panama",vertebrate,white,lemon,,collar and belly,carotenoid,N/A,dummy used,Exp,uncontrolled,None measured,mature,males,field,breeding,No,Indirect,calls,34,mean,NA,NA,NA,,NA,17,199.8,NA,NA,111.2,17,383.1,NA,NA,151.5
79,"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al 2018 - 1,Melospiza melodia,"Montgomery County, Virginia, USA",vertebrate,light brown,,dark brown,body,melanocortin,eumelanin,speaker only,Exp,Covariate,Scaled mass index,mature,males,field,breeding,No,Indirect,PC x darkness,67,F,0.286,1,30,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Beck, ML; Davies, S; Sewall, KB",2018,Beck et al 2018 - 2,Melospiza melodia,"Montgomery County, Virginia, USA",vertebrate,light brown,,dark brown,body,melanocortin,eumelanin,speaker only,Exp,Covariate,Scaled mass index,mature,males,field,breeding,No,Indirect,PC x area,67,F,0.592,1,30,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Hooper, RE; Plaistow, SJ; Tsubaki, Y",2006,Hooper et al 2006,Mnais costalis,"Gozenyama, Ibaraki Prefecture, Japan",invertebrate,clear,,orange,wings,carotenoid,N/A,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Direct,time,56,F,8.11,1,55,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Carola, V; Perlas, E; Zonfrillo, F; Soini, HA; Novotny, MV; Gross, CT",2014,Carola et al 2014,Mus musculus,"Jackson Laboratory, Bar Harbor ME",vertebrate,non-agouti,,agouti,body,melanocortin ,pheomelanin,new individuals,Exp,uncontrolled,None measured,mature,both,domestic,year round,No,Direct,number of attacks,20,F,-5.4,1,18,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Franklin, AM; Donatelli, CM; Culligan, CR; Tytell, ED",2019,Franklin et al 2019,Neogonodactylus oerstedii,Local Suppliers,invertebrate,light meral spots,,dark meral spots,legs,carotenoid,N/A,isolated,Exp,Covariate,Length,mature,both,lab,year round,No,Indirect,strike force,18,X2,5.44,1,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017 - 1,Neolamprologus pulcher,"Lake Tanaganyika, Tanzania",vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,video - housed together,Exp,"NS (F= 1.4, p=0.248 and controlled in stats)",Length,mature,both,captivity,year round,No,Direct,overt acts,28,X2,6.84,2,NA,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Balzarini, V; Taborsky, M; Villa, F; Frommen, JG",2017,Balzarini et al 2017 - 2,Neolamprologus pulcher,"Lake Tanaganyika, Tanzania",vertebrate,no stripes,light stripes,dark stripes,body,melanocortin,eumelanin,video - housed together,Exp,"NS (F= 1.4, p=0.248 and controlled in stats)",Length,mature,both,captivity,year round,No,Direct,restrained acts,28,X2,0.061,2,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Crothers, LR; Cummings, ME",2015,Crothers and Cummings 2015,Oophaga pumilio,"Isla Solarte, Bocas del Toro, Panama",vertebrate,light red,,bright red,body,carotenoid,N/A,uncontrolled,Exp,Size matched,Length,mature,males,field,year round,No,Indirect,call latency (sec),21,X2,4.26,1,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Crothers, L; Gering, E; Cummings, M",2011,Crothers et al 2011,Oophaga pumilio,"Isla Solarte, Bocas del Toro, Panama",vertebrate,dull,,bright,dorsal,carotenoid,N/A,isolated,Exp,Covariate,Weight and length,mature,males,captivity,year round,No,Indirect,approach,75,F,5.9355,1,74,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Rudh, A; Breed, MF; Qvarnstrom, A",2013,Rudh et al 2013,Oophaga pumilio,"Bocas del Toro, Panama",vertebrate,green,,red,body,carotenoid,N/A,mirror,Exp,uncontrolled,None measured,mature,males,field,year round,No,Indirect,score,70,mean,NA,NA,NA,,NA,35,0.438,NA,0.225,1.331117951,35,0.745,NA,0.052,0.307636149
87,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 1,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,track high red,140,X2,2.1,2,NA,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 2,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,track high blue,139,X2,4.25,2,NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 3,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,approach high red,140,X2,2.77,2,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 4,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,approach high blue,139,X2,1.77,2,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 5,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,call high red,140,X2,4.16,2,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 6,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,call high blue,139,X2,0.61,2,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 7,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,challenge high red,140,X2,2.33,2,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Yang, Y; Dugas, MB; Sudekum, HJ; Murphy, SN; Richards-Zawacki, CL",2018,Yang et al 2018 - 8,Oophaga pumilio,"Isla San Cristobal, Ecuador and Aguacate Peninsula, Panama",vertebrate,red,intermediate,blue,body,carotenoid,N/A,dummy used,Exp,NS,Length,mature,males,field,year round,No,Indirect,challenge high blue,139,X2,3.16,2,NA,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Rodriguez-Barreto, D; Rey, O; Uren-Webster, TM; Castaldo, G; Consuegra, S; de Leaniz, CG",2019,Rodriguez-Barreto et al 2019,Oreochromis niloticus,"Local Supplier, Fishgen Ltd",vertebrate,lighter,,darker,body,carotenoid,N/A,mirror,Exp,uncontrolled,Density in rearing tank,mature,both,lab,year round,Plastic,Direct,number of interactions,120,mean,NA,NA,NA,,NA,60,28.63,NA,5.93,45.93358249,60,7.11,NA,2.09,16.18907039
96,"Moore, MP; Martin, RA",2016,Moore and Martin 2016,Pachydiplax longipennis,"Case Western Reserve University's Squire Valleevue Farm, Hunting Valley, OH, USA",invertebrate,less black,,more black,wing tips,melanocortin,eumelanin,uncontrolled,Obs,"NS (r = -0.09, t114 = -0.96, p = 0.339)",Length,mature,males,field,year round,No,Direct,contests won,155,X2,6.5,1,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"McGraw, KJ; Dale, J; Mackillop, EA",2003,McGraw et al 2003,Passer domesticus,"Tompkins County, NY, USA",vertebrate,small size,,large size,body,melanocortin,eumelanin,uncontrolled,Exp,Covariate,Weight and length,mature,males,captivity,non-breeding,No,Indirect,rankinteraction rate,42,F,4.05,1,42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 1,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of charges,85,mean,NA,NA,NA,,NA,70,6.703,NA,NA,1.058,15,9.937,NA,NA,3.293
99,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 2,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of lateral displays,85,mean,NA,NA,NA,,NA,70,3.468,NA,NA,0.803,15,1.783,NA,NA,0.431
100,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 3,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of tail beats,85,mean,NA,NA,NA,,NA,70,4.645,NA,NA,0.941,15,9.761,NA,NA,3.47
101,"Seaver, CMS; Hurd, PL",2017,Seaver and Hurd 2017 - 4,Pelvicachromis pulcher,Local Suppliers,vertebrate,yellow,,red,ventral,unknown,N/A,isolated and mirror,Exp,uncontrolled,None measured,mature,males,lab,year round,No,Direct,number of bites,85,mean,NA,NA,NA,,NA,70,325.038,NA,NA,42.573,15,457.507,NA,NA,135.023
102,"Rose, P; Soole, L",2020,Rose and Soole 2020,Phoenicoparrus minor,"Wildfowl & Wetlands Trust (WWT) Slimbridge Wetland Centre, Slimbridge, UK",vertebrate,white,,pink,body,carotenoid,N/A,uncontrolled,Obs,uncontrolled,None measured,mature,both,captivity,year round,Plastic,Direct,seconds,45,F,6.45,4,40,0.00004,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"BRACE, RC",1981,Brace 1981 - 1,Phymactis clematis,"Montemar Beach, Vina del Mar, Chile",invertebrate,green,,red,ventral,unknown,N/A,new individuals,Exp,NS,weight diff and weight ratio,mature,both,captivity,year round,No,Direct,first aggressor,29,X2,4.17,1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"BRACE, RC",1981,Brace 1981 - 2,Phymactis clematis,"Montemar Beach, Vina del Mar, Chile",invertebrate,green,,red,ventral,unknown,N/A,new individuals,Exp,NS,weight diff and weight ratio,mature,both,captivity,year round,No,Direct,first attacker,18,X2,0.22,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"BRACE, RC",1981,Brace 1981 - 3,Phymactis clematis,"Montemar Beach, Vina del Mar, Chile",invertebrate,green,,red,ventral,unknown,N/A,new individuals,Exp,NS,weight diff and weight ratio,mature,both,captivity,year round,No,Direct,winner,14,X2,2.57,1,NA,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Reiter, MK; Anthony, CD; Hickerson, CAM",2014,Reiter et al 2014,Plethodon cinereus,"Cayuahoga Valley National Park, Summit CO. Ohio, USA",vertebrate,unstriped black,,striped red,dorsal,carotenoid,N/A,isolated,Exp,Size matched,Length,mature,males,captivity,year round,No,Indirect,score,60,t,2.51,29,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"Titone, V; Marsiglia, F; Mangiacotti, M; Sacchi, R; Scali, S; Zuffi, MAL",2018,Titone et al 2018,Podarcis siculus,"Pisa, Italy",vertebrate,white,,green,ventral,unknown,N/A,isolated,Exp,"NS (mass t = 0.121, d.f. = 96, P = 0.904, length t = 0.182, d.f. = 96, P = 0.856)",Weight and length,mature,males,captivity,year round,No,Indirect,score,30,F,0.317,1,29,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 1,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,intermediate,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,aggressive encounters,74,F,3.8,2,17,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 2,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,mutual display,33,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 3,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,display,12,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 4,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,chase,61,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 5,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,nip,64,X2,21.3,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 6,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,mutual display,27,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 7,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,display,11,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 8,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,chase,16,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"MARTIN, FD; HENGSTEBECK, MF",1981,Martin and Hengstebeck 1981 - 9,Poecilia reticulata,Local Suppliers and Puerto Rico,vertebrate,light,,dark,eyes,unknown,N/A,uncontrolled,Obs,uncontrolled,None measured,juvenile,both,captivity,changing,Plastic,Direct,nip,11,X2,18.18,6,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Petrocelli, I; Ricciardi, G; de Souza, AR; Ermanni, A; Ninu, A; Turillazzi, S",2015,Petrocelli et al 2015,Polistes gallicus,"Peretola airport, Florence, Tuscany, Italy",invertebrate,small black,,large black,head,melanocortin,eumelanin,new individuals,Exp,Size matched,Length,mature,females,captivity,year round,No,Indirect,dominance,42,X2,4.011,1,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"Stapley, J",2006,Stapley 2006,Pseudemoia entrecasteauxii,"Namadgi National Park in the Australian Capital, Sdyney, Australia",vertebrate,white,,orange,ventral,carotenoid,N/A,uncontrolled,Exp,"NS (t1,31 = 0.02, p = 0.482)",Weight over length,mature,males,captivity,year round,Plastic,Indirect,score,32,F,22.46,1,31,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"O'Connor, KI; Metcalfe, NB; Taylor, AC",1999,O'Connor et al 1999,Salmo salar,"River Almond, Perthshire, UK",vertebrate,light grey,slate grey,dark grey,body,melanocortin,eumelanin,isolated,Exp,Size matched,Weight,mature,both,captivity,year round,No,Indirect,score,33,r,NA,NA,NA,0.19,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"Suter, HC; Huntingford, FA",2002,Suter and Huntingford 2002,Salmo salar,"SOAEFD Hatchery at Almondbank, Perthshire, UK",vertebrate,pale,,dark,eyes,unknown,N/A,uncontrolled,Obs,Size matched,Weight and length,juvenile,both,lab,changing,Plastic,Direct,number of acts,7,t,-2.45,6,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"Seddon, RJ; Hews, DK",2016,Seddon and Hews 2016 - 1,Sceloporus occidentalis,"Yosemite National Park, CA, USA",vertebrate,white,,black,ventral,melanocortin,eumelanin,new individuals,Exp,"Covariate (P N 0.18 for PC1, P N 0.34 for PC2)",Weight and length,mature,males,field,year round,No,Direct,chemosensory,30,t,2.08,14,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
