,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2
16,"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008 - 3,Calamospiza melanocorys,"Pawnee National Grassland, Colorado, USA",vertebrate,light,,dark,body,melanocortin,eumelanin,uncontrolled,Obs,"NS (t45 = 0.74, p = 0.46)",Length,mature,males,field,breeding,No,Direct,territorial,94,t,2.11,46,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Kim, YK; Lee, SS; Oh, SI; Kim, JS; Suh, EH; Houpt, KA; Lee, HC; Lee, HJ; Yeon, SC",2010,Kim et al 2010,Canis lupus familiaris,South Korea,vertebrate,white,,fawn,body,melanocortin,pheomelanin,new individuals,Exp,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,reactivity score,51,mean,NA,NA,NA,NA,NA,20,1.234,NA,NA,0.625,31,1.344,NA,NA,0.36
18,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,strange dogs,428,t,2.582,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when in restricted spaces,423,t,2.4,422,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 11,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,meal times,426,t,3.492,425,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 12,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,no reason,428,t,3.643,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,approaching owner away from home,426,t,2.774,425,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,toward children,142,t,3.365,141,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,attention on others in house,425,t,3.336,424,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,toward owner or family,428,t,4.988,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
