X,Authors,Publication.Year,Study,Species,Geographic,Vert_Invert,Color1,Color2,Color3,Pattern,Classification,Eu_Pheomelanin,Social_Rank_Controlled,Obs_vs_Exp,Condition_Stats,Condition,Age,Sex,Location,Season,Plasticity,Aggression,Aggression.Units,Sample.Size,Stat.Test,Test.Statistic,df1,df2,p.value,r,n1,mean1,var1,se1,sd1,n2,mean2,var2,se2,sd2,rho,SE_r,Fisher_Z,SE_Z,Weight
16,"Chaine, AS; Lyon, BE",2008,Chaine and Lyon 2008 - 3,Calamospiza melanocorys,USA,vertebrate,light,,dark,body,melanocortin,eumelanin,uncontrolled,Obs,"NS (t45 = 0.74, p = 0.46)",Length,mature,males,field,breeding,No,Direct,territorial,94,t,2.11,46,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372308344,0.096762062,0.391100236,0.104828484,9.539392014
17,"Kim, YK; Lee, SS; Oh, SI; Kim, JS; Suh, EH; Houpt, KA; Lee, HC; Lee, HJ; Yeon, SC",2010,Kim et al 2010,Canis lupus familiaris,South Korea,vertebrate,white,,fawn,body,melanocortin,pheomelanin,new individuals,Exp,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,reactivity score,51,mean,NA,NA,NA,NA,NA,20,1.234,NA,NA,0.625,31,1.344,NA,NA,0.36,0.025411787,0.14281101,0.025417259,0.144337567,6.92820323
18,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 1,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,strange dogs,428,t,2.582,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155395389,0.047861603,0.156664645,0.048507125,20.61552813
19,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 2,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when in restricted spaces,423,t,2.4,422,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145435723,0.048218831,0.146474333,0.048795004,20.49390153
20,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 3,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,meal times,426,t,3.492,425,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209313406,0.047488526,0.212453185,0.048621664,20.5669638
21,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 4,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,no reason,428,t,3.643,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.217599979,0.047289197,0.221135412,0.048507125,20.61552813
22,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 5,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,approaching owner away from home,426,t,2.774,425,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167138084,0.047881163,0.168721044,0.048621664,20.5669638
23,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 6,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,toward children,142,t,3.365,141,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341713348,0.079427954,0.356031109,0.084818893,11.78982612
24,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 7,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,attention on others in house,425,t,3.336,424,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200436596,0.047634969,0.203187383,0.048679238,20.54263858
25,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 8,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,toward owner or family,428,t,4.988,427,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294086273,0.046307638,0.303033557,0.048507125,20.61552813
26,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 9,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when disciplined,427,t,4.524,426,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268341633,0.046728069,0.275075916,0.048564293,20.59126028
27,"Podberscek, AL; Serpell, JA",1996,Podberscek and Serpell 1996 - 10,Canis lupus familiaris,UK,vertebrate,black,,red/golden,body,melanocortin,pheomelanin,isolated,Obs,uncontrolled,None measured,both,both,domestic,year round,No,Indirect,when reached for or handled,428,t,3.161,427,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189516807,0.047572119,0.191835927,0.048507125,20.61552813
28,"Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,Jawor et al 2004,Cardinalis cardinalis,USA,vertebrate,light black,,dark black,face,melanocortin,eumelanin,dummy used,Exp,Covariate,Length and growth rate,mature,females,field,year round,No,Direct,attacks,22,t,2.09,21,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520070541,0.190987779,0.576436444,0.229415734,4.358898944
29,"BARLOW, GW; SIRI, P",1994,Barlow and Siri 1994,Cichlasoma citrinellum,Nicaragua,vertebrate,grey,,golden,body,carotenoid,N/A,dummy used,Exp,Size matched,Weight and length,juvenile,both,captivity,year round,Plastic,Direct,attacks,36,F,0.769,1,27,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027692751,0.171432812,0.027699833,0.174077656,5.744562647
30,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 1,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,approach,11,r,NA,NA,NA,NS,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0.253311403,-0.775298706,0.353553391,2.828427125
31,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 2,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,lateral display,11,r,NA,NA,NA,NS,-0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,0.2867248,-0.562729769,0.353553391,2.828427125
32,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 3,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,frontal display,11,r,NA,NA,NA,0.005,-0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,0.212681295,-1.020327758,0.353553391,2.828427125
33,"Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,Beeching et al 1998 - 4,Cichlasoma nigrofasciatum,Local Suppliers,vertebrate,dull orange,,bright orange,ventral,carotenoid,N/A,isolated and videos,Exp,uncontrolled,None measured,mature,females,lab,year round,Plastic,Direct,bite,11,r,NA,NA,NA,0.02,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,0.241269789,-0.847955755,0.353553391,2.828427125
34,"Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,Yewers et al 2016,Ctenophorus decresii,Australia,vertebrate,grey,yellow,orange,throat,carotenoid,N/A,dummy used,Exp,"Covariate (F1,28.2= 3.64, p = 0.067)",Weight and length,mature,males,field,year round,Plastic,Indirect,score,34,F,2.94,3,28.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236334405,0.171768926,0.240888083,0.179605302,5.567764363
35,"Korsten, P; Dijkstra, TH; Komdeur, J",2007,Korsten et al 2007,Cyanistes caeruleus,Netherlands,vertebrate,reduced blue,,blue,head,structural,N/A,dummy and speaker,Exp,NS,Weight,both,males,field,year round,Plastic,Direct,attack,23,t,0.2,13.1,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069150011,0.217695536,0.069260547,0.223606798,4.472135955
36,"Pryke, SR; Griffith, SC",2009,Pryke and Griffith 2009,Erythrura gouldiae,Australia,vertebrate,red,,black,face,melanocortin,eumelanin,dummy used,Exp,Covariate,Weight and length,juvenile,females,lab,year round,Plastic,Indirect,score,76,F,14.32,1,75,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160322436,0.11474394,0.161717621,0.117041147,8.544003745
37,"Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,Williams et al 2012,Erythrura gouldiae,Local Suppliers,vertebrate,red,,black,head,melanocortin,eumelanin,new individuals,Obs,Size matched,Length,mature,both,captivity,year round,Plastic,Indirect,score,40,mean,NA,NA,NA,,NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182,-0.077659894,0.161731498,-0.077816586,0.164398987,6.08276253
38,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 1,Euplectes ardens,South Africa,vertebrate,small yellow,average orange,large red,collar brightness,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,NS,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,0.174790197,-0.234189467,0.182574186,5.477225575
39,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 2,Euplectes ardens,South Africa,vertebrate,small yellow,average orange,large red,collar hue,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,0.001,-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,0.158531568,-0.510070337,0.182574186,5.477225575
40,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 3,Euplectes ardens,South Africa,vertebrate,small yellow,average orange,large red,collar chroma,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,33,r,NA,NA,NA,NS,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.17783646,-0.140925576,0.182574186,5.477225575
41,"Pryke, SR; Lawes, MJ; Andersson, S",2001,Prkye et al 2001 - 4,Euplectes ardens,South Africa,vertebrate,small yellow,average orange,large red,collar area,carotenoid,N/A,uncontrolled,Obs,Covariate,Weight and length,mature,males,field,year round,Plastic,Direct,number of interactions,43,r,NA,NA,NA,0.001,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0.118681784,-0.775298706,0.158113883,6.32455532
42,"Dale, S; Slagsvold, T",1996,Dale and Slagsvold 1996,Ficedula hypoleuca,Norway,vertebrate,dull,,bright,body,melanocortin,eumelanin,uncontrolled,Exp,uncontrolled,None measured,mature,both,field,breeding,Plastic,Direct,response time,15,t,2.61,14,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717038531,0.193322318,0.901522783,0.288675135,3.464101615
43,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 1,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Indirect,score,36,r,NA,NA,NA,0.1,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.167674404,0.213171347,0.174077656,5.744562647
44,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 2,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Indirect,score,31,r,NA,NA,NA,0.1,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.183594381,-0.151140436,0.188982237,5.291502622
45,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 3,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Indirect,distance,41,r,NA,NA,NA,0.1,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,0.15915643,-0.110446916,0.162221421,6.164414003
46,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 4,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,mature,males,field,year round,Plastic,Direct,attacks,41,r,NA,NA,NA,0.1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.158551132,0.140925576,0.162221421,6.164414003
47,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 5,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Indirect,distance,33,r,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.178705019,0.100335348,0.182574186,5.477225575
48,"HUHTA, E; ALATALO, RV",1993,Huhta and Alatalo 1993 - 6,Ficedula hypoleuca,Finland,vertebrate,light brown,,brown,body,melanocortin,eumelanin,dummy used,Exp,uncontrolled,Length,juvenile,males,field,year round,Plastic,Direct,attacks,33,r,NA,NA,NA,0.1,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,0.17188706,-0.298566264,0.182574186,5.477225575
49,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 1,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,juvenile,females,domestic,year round,No,Direct,% of obs,23,mean,NA,NA,NA,NA,NA,9,2.2,NA,0.5,1.5,14,1.1,NA,0.3,1.1225,-0.163386594,0.215285505,-0.164864212,0.223606798,4.472135955
50,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 2,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,juvenile,males,domestic,year round,No,Direct,% of obs,22,mean,NA,NA,NA,NA,NA,6,2,NA,0.7,1.715,16,3.6,NA,0.6,2.4,0.226332231,0.217804238,0.230320262,0.229415734,4.358898944
51,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 3,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,mature,females,domestic,year round,No,Direct,% of obs,23,mean,NA,NA,NA,NA,NA,9,1.5,NA,0.6,1.8,14,2,NA,0.7,2.6192,0.059023845,0.217837443,0.059092531,0.223606798,4.472135955
52,"Karlsson, AC; Mormede, P; Kerje, S; Jensen, P",2011,Karlsson et al 2011 - 4,Gallus gallus domesticus,Sweden,vertebrate,white,,wild type,body,melanocortin,eumelanin,isolated and mirror,Exp,NS,Weight,mature,males,domestic,year round,No,Direct,% of obs,22,mean,NA,NA,NA,NA,NA,6,0,NA,0,0,16,6.2,NA,2,8,0.516876872,0.19142078,0.572068633,0.229415734,4.358898944
53,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 1,Gallus gallus domesticus,China,vertebrate,white,,red,body,melanocortin,eumelanin,uncontrolled,Obs,NS,Weight,mature,females,domestic,year round,No,Direct,chase and attack,10,mean,NA,NA,NA,,NA,5,40.6,NA,NA,6.8,5,24.8,NA,NA,45.57,-0.306870989,0.336494836,-0.317087428,0.377964473,2.645751311
54,"Nie, CS; Ban, LP; Ning, ZH; Qu, LJ",2019,Nie et al 2019 - 2,Gallus gallus domesticus,China,vertebrate,white,,red,body,melanocortin,eumelanin,uncontrolled,Obs,NS,Weight,mature,females,domestic,year round,No,Direct,peak and threat,10,mean,NA,NA,NA,,NA,5,236.6,NA,NA,33.49,5,158.4,NA,NA,45.54,-0.635436684,0.272997303,-0.750482445,0.377964473,2.645751311
55,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 1,Gallus gallus domesticus,UK,vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and area,120,F,13.68,1,110,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110608021,0.091492607,0.111062425,0.092450033,10.81665383
56,"O'Connor, EA; Saunders, JE; Grist, H; McLeman, MA; Wathes, CM; Abeyesinghe, SM",2011,O'Connor et al 2011 - 2,Gallus gallus domesticus,UK,vertebrate,small,,large,comb,melanocortin,eumelanin,uncontrolled,Obs,"Covariate (F1,111 = 0.01, P = 0.91)",Weight and comb size,mature,females,domestic,year round,No,Indirect,dominance score and luminance,120,F,2.75,1,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02676399,0.092024485,0.026770383,0.092450033,10.81665383
57,"Horth, L",2003,Horth 2003,Gambusia holbrooki,USA,vertebrate,silver,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"NS (t9 = 0.297, p=0.773)",Length,mature,males,captivity,year round,No,Direct,time,8,t,2.74,7,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901597533,0.176598361,1.480691874,0.447213595,2.236067977
58,"Baube, CL",1997,Baube 1997,Gasterosteus aculeatus,USA,vertebrate,dull red,,bright red,body,carotenoid,N/A,isolated,Exp,Size matched,Weight per length,mature,males,lab,breeding,Plastic,Direct,latency seconds,170,X2,10.741,1,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251361001,0.074674598,0.256865075,0.077382323,12.92284798
59,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 1,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,males,captivity,year round,No,Direct,number of behaviors,10,F,25.55,1,9.6,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72688478,0.242806126,0.9220903,0.377964473,2.645751311
60,"Tinghitella, RM; Lehto, WR; Minter, R",2015,Tinghitella et al 2015 - 2,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,"Covariate (t = 2.54, P = 0.017 N =33 males, = 4.92, P <0.001, N = 27 females)",Length,mature,females,captivity,year round,No,Direct,number of behaviors,6,F,5.06,1,4.8,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184584,0.429139133,0.567043338,0.577350269,1.732050808
61,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 1,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Direct,"approach, bite, chase",20,X2,2.18,2,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33015148,0.222485955,0.342998257,0.242535625,4.123105626
62,"Tinghitella, RM; Lehto, WR; Lierheimer, VF",2018,Tinghitella et al 2018 - 2,Gasterosteus aculeatus,USA,vertebrate,red,,black,body,melanocortin,eumelanin,uncontrolled,Exp,Size matched,Weight and length,mature,males,captivity,year round,No,Indirect,wins,20,X2,0.46,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151657509,0.232975917,0.15283653,0.242535625,4.123105626
