"","Authors","Publication.Year","Study","Species","Vert_Invert","Color1","Color2","Color3","Pattern","Classification","Eu_Pheomelanin","Age","Sex","Location","Season","Plasticity","Aggression.Units","Sample.Size","Stat.Test","Test.Statistic","df1","df2","p.value","r","n1","mean1","var1","se1","sd1","n2","mean2","var2","se2","sd2","rho","Fisher_Z","SE","Weight"
"18","Podberscek, AL; Serpell, JA",1996,"Podberscek and Serpell 1996 - 4","Canis lupus familiaris","vertebrate","black","","red/golden","body","melanocortin","pheomelanin","both","both","domestic","year round","No","toward children",142,"t",3.365,141,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272647804912286,0,0,0
"19","Podberscek, AL; Serpell, JA",1996,"Podberscek and Serpell 1996 - 6","Canis lupus familiaris","vertebrate","black","","red/golden","body","melanocortin","pheomelanin","both","both","domestic","year round","No","attention on others in house",425,"t",3.336,424,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159925265191408,0,0,0
"20","Podberscek, AL; Serpell, JA",1996,"Podberscek and Serpell 1996 - 7","Canis lupus familiaris","vertebrate","black","","red/golden","body","melanocortin","pheomelanin","both","both","domestic","year round","No","toward owner or family",428,"t",4.988,427,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234646897078332,0,0,0
"21","Podberscek, AL; Serpell, JA",1996,"Podberscek and Serpell 1996 - 8","Canis lupus familiaris","vertebrate","black","","red/golden","body","melanocortin","pheomelanin","both","both","domestic","year round","No","when disciplined",427,"t",4.524,426,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214105646271364,0,0,0
"22","Podberscek, AL; Serpell, JA",1996,"Podberscek and Serpell 1996 - 9","Canis lupus familiaris","vertebrate","black","","red/golden","body","melanocortin","pheomelanin","both","both","domestic","year round","No","when reached for or handled",428,"t",3.161,427,NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1512125342004,0,0,0
"23","Jawor, JM; Gray, N; Beall, SM; Breitwisch, R",2004,"Jawor et al 2004","Cardinalis cardinalis","vertebrate","light brown","","dark brown","face","melanocortin","pheomelanin","mature","females","wild","year round","No","",22,"r",NA,NA,NA,"0.05",0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0,0,0
"24","BARLOW, GW; SIRI, P",1994,"Barlow and Siri 1994","Cichlasoma citrinellum","vertebrate","white","","gold","body","melanocortin","eumelanin","juvenile","both","captivity","year round","Plastic","attacks",30,"F",2.685,1,27,"0.388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0904497220818595,0,0,0
"25","Beeching, SC; Gross, SH; Bretz, HS; Hariatis, E",1998,"Beeching et al 1998","Cichlasoma nigrofasciatum","vertebrate","dull orange","","bright orange","ventral","carotenoid","N/A","mature","females","lab","year round","Plastic","approach/bite",13,"r",NA,NA,NA,"",-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0,0,0
"26","Yewers, MSC; Pryke, S; Stuart-Fox, D",2016,"Yewers et al 2016","Ctenophorus decresii","vertebrate","grey","yellow","orange","throat","carotenoid","N/A","mature","males","field","year round","Plastic","score",34,"F",2.94,3,28.5,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236334405144695,0,0,0
"27","Korsten, P; Dijkstra, TH; Komdeur, J",2007,"Korsten et al 2007","Cyanistes caeruleus","vertebrate","reduced blue","","blue","head","unknown","N/A","both","males","field","year round","Plastic","",8,"t",3.66,7,NA,"0.022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.810425023759447,0,0,0
"28","Pryke, SR; Griffith, SC",2009,"Pryke and Griffith 2009","Erythrura gouldiae","vertebrate","black","","red","face","carotenoid","N/A","juvenile","females","lab","year round","Plastic","time",76,"F",14.32,1,75,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160322436184505,0,0,0
"29","Williams, LJ; King, AJ; Mettke-Hofmann, C",2012,"Williams et al 2012","Erythrura gouldiae","vertebrate","red","","black","head","carotenoid","N/A","mature","both","captivity","year round","Plastic","score",40,"mean",NA,NA,NA,"",NA,20,2.103,NA,0.718,3.210993616,20,0.407,NA,0.222,0.992814182,0.336064123632967,0,0,0
"30","Pryke, SR; Lawes, MJ; Andersson, S",2001,"Prkye et al 2001 - 1","Euplectes ardens","vertebrate","small yellow","average orange","large red","collar brightness","carotenoid","N/A","mature","males","field","year round","Plastic","number of interactions",33,"r",NA,NA,NA,"NS",-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,0,0,0
"31","Pryke, SR; Lawes, MJ; Andersson, S",2001,"Prkye et al 2001 - 2","Euplectes ardens","vertebrate","small yellow","average orange","large red","collar hue","carotenoid","N/A","mature","males","field","year round","Plastic","number of interactions",33,"r",NA,NA,NA,"0.001",-0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,0,0,0
"32","Pryke, SR; Lawes, MJ; Andersson, S",2001,"Prkye et al 2001 - 3","Euplectes ardens","vertebrate","small yellow","average orange","large red","collar chroma","carotenoid","N/A","mature","males","field","year round","Plastic","number of interactions",33,"r",NA,NA,NA,"NS",-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0,0,0
"33","Pryke, SR; Lawes, MJ; Andersson, S",2001,"Prkye et al 2001 - 4","Euplectes ardens","vertebrate","small yellow","average orange","large red","collar area","carotenoid","N/A","mature","males","field","year round","Plastic","number of interactions",43,"r",NA,NA,NA,"0.001",-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,0,0,0
"34","Cross, FR; Jackson, RR; Taylor, LA",2020,"Cross et al 2020","Evarcha culicivora","invertebrate","black","","bright red","face","melanocortin","pheomelanin","mature","males","captivity","year round","Plastic","wilcoxon",11,"t",3.52,10,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743895167351271,0,0,0
