"Dataset","k","r_mean","r_CI","PI","sigma2_phylo","sigma2_study","sigma2_resid","I2_total_pct"
"Original",169,"0.2488","[0.0960, 0.4016]","[-0.4301, 0.9277]","0.0106","0.0802","0.0231","91.76"
"Corrected (rbis fixed)",147,"0.2224","[0.0519, 0.3928]","[-0.6176, 1.0623]","0.0126","0.0570","0.1064","91.22"
