"Dataset","k","rho_mean","rho_CI","I2","DIC","lag1_autocor","eff_sample","note"
"Original",169,"0.2529","[0.0622, 0.4709]","0.4768","-63.97","-0.0117","2566.2","OK"
"Corrected (rbis fixed)",147,"0.2257","[0.0182, 0.4503]","0.8665","137.38","0.0020","2500.0","OK"
