"Dataset","k","Estimate","CI","PI","sigma2_phylo","sigma2_study","sigma2_resid","I2_total_pct"
"Original",169,"0.2936","[0.0700, 0.5172]","[-0.6493, 1.2365]","0.0248","0.1514","0.0422","93.69"
"Corrected",147,"0.2721","[0.0043, 0.5398]","[-0.9446, 1.4887]","0.0369","0.0565","0.2732","94.15"
