"Dataset","k","Z_mean","Z_CI","r_mean","r_CI","PI_Z","I2","DIC"
"Original",169,"0.2488","[0.0454, 0.4650]","0.2437","[0.0453, 0.4342]","[-0.4246, 0.9221]","0.0355","-281.36"
"Corrected",147,"0.2702","[-0.0556, 0.6066]","0.2638","[-0.0555, 0.5418]","[-1.0291, 1.5696]","0.6699","267.96"
